"","V1","V2"
"1",2008-01-01,"0"
"2",2008-01-02,"0"
"3",2008-01-03,"0"
"4",2008-01-04,"0"
"5",2008-01-05,"0"
"6",2008-01-06,"0"
"7",2008-01-07,"0"
"8",2008-01-08,"0.8"
"9",2008-01-09,"0"
"10",2008-01-10,"2.2"
"11",2008-01-11,"0.5"
"12",2008-01-12,"0"
"13",2008-01-13,"0"
"14",2008-01-14,"0"
"15",2008-01-15,"0"
"16",2008-01-16,"0"
"17",2008-01-17,"0"
"18",2008-01-18,"0"
"19",2008-01-19,"0"
"20",2008-01-20,"0"
"21",2008-01-21,"0"
"22",2008-01-22,"0"
"23",2008-01-23,"0"
"24",2008-01-24,"0.05"
"25",2008-01-25,"3.5"
"26",2008-01-26,"13.8"
"27",2008-01-27,"0"
"28",2008-01-28,"0.05"
"29",2008-01-29,"0.4"
"30",2008-01-30,"3.8"
"31",2008-01-31,"4.5"
"32",2008-02-01,"0.3"
"33",2008-02-02,"9.7"
"34",2008-02-03,"0.05"
"35",2008-02-04,"1.9"
"36",2008-02-05,"8.7"
"37",2008-02-06,"1.9"
"38",2008-02-07,"0.05"
"39",2008-02-08,"0"
"40",2008-02-09,"0"
"41",2008-02-10,"0"
"42",2008-02-11,"0"
"43",2008-02-12,"0"
"44",2008-02-13,"0"
"45",2008-02-14,"0.05"
"46",2008-02-15,"0"
"47",2008-02-16,"0"
"48",2008-02-17,"0"
"49",2008-02-18,"0"
"50",2008-02-19,"0"
"51",2008-02-20,"0"
"52",2008-02-21,"0"
"53",2008-02-22,"0.05"
"54",2008-02-23,"1.0"
"55",2008-02-24,"0"
"56",2008-02-25,"8.0"
"57",2008-02-26,"3.1"
"58",2008-02-27,"0"
"59",2008-02-28,"0"
"60",2008-02-29,"0.6"
"63",2008-03-01,"0"
"64",2008-03-02,"0"
"65",2008-03-03,"0"
"66",2008-03-04,"0"
"67",2008-03-05,"0"
"68",2008-03-06,"0"
"69",2008-03-07,"0"
"70",2008-03-08,"0"
"71",2008-03-09,"0"
"72",2008-03-10,"0"
"73",2008-03-11,"0"
"74",2008-03-12,"0"
"75",2008-03-13,"0.05"
"76",2008-03-14,"0.5"
"77",2008-03-15,"0"
"78",2008-03-16,"0"
"79",2008-03-17,"0"
"80",2008-03-18,"3.5"
"81",2008-03-19,"0.8"
"82",2008-03-20,"0"
"83",2008-03-21,"0"
"84",2008-03-22,"3.0"
"85",2008-03-23,"2.5"
"86",2008-03-24,"0"
"87",2008-03-25,"0"
"88",2008-03-26,"0"
"89",2008-03-27,"0"
"90",2008-03-28,"0.05"
"91",2008-03-29,"0.05"
"92",2008-03-30,"0"
"93",2008-03-31,"9.9"
"94",2008-04-01,"2.0"
"95",2008-04-02,"1.5"
"96",2008-04-03,"6.5"
"97",2008-04-04,"0"
"98",2008-04-05,"0"
"99",2008-04-06,"0"
"100",2008-04-07,"0"
"101",2008-04-08,"0"
"102",2008-04-09,"0"
"103",2008-04-10,"7.2"
"104",2008-04-11,"0.05"
"105",2008-04-12,"14.1"
"106",2008-04-13,"0.05"
"107",2008-04-14,"0"
"108",2008-04-15,"0"
"109",2008-04-16,"0"
"110",2008-04-17,"0"
"111",2008-04-18,"1.3"
"112",2008-04-19,"0"
"113",2008-04-20,"23.9"
"114",2008-04-21,"1.6"
"115",2008-04-22,"0.05"
"116",2008-04-23,"3.5"
"117",2008-04-24,"0.05"
"118",2008-04-25,"0"
"119",2008-04-26,"0"
"120",2008-04-27,"0"
"121",2008-04-28,"6.5"
"122",2008-04-29,"0"
"123",2008-04-30,"0"
"125",2008-05-01,"0"
"126",2008-05-02,"0"
"127",2008-05-03,"0.05"
"128",2008-05-04,"0"
"129",2008-05-05,"7.8"
"130",2008-05-06,"0.1"
"131",2008-05-07,"0"
"132",2008-05-08,"0"
"133",2008-05-09,"9.5"
"134",2008-05-10,"2.5"
"135",2008-05-11,"0"
"136",2008-05-12,"0"
"137",2008-05-13,"0"
"138",2008-05-14,"0"
"139",2008-05-15,"0"
"140",2008-05-16,"0"
"141",2008-05-17,"0"
"142",2008-05-18,"0"
"143",2008-05-19,"8.0"
"144",2008-05-20,"0"
"145",2008-05-21,"1.5"
"146",2008-05-22,"0"
"147",2008-05-23,"0"
"148",2008-05-24,"0"
"149",2008-05-25,"18.0"
"150",2008-05-26,"0"
"151",2008-05-27,"0"
"152",2008-05-28,"0.9"
"153",2008-05-29,"0.5"
"154",2008-05-30,"6.0"
"155",2008-05-31,"8.5"
"156",2008-06-01,"3.0"
"157",2008-06-02,"15.0"
"158",2008-06-03,"0"
"159",2008-06-04,"0"
"160",2008-06-05,"0"
"161",2008-06-06,"1.8"
"162",2008-06-07,"12.0"
"163",2008-06-08,"0.1"
"164",2008-06-09,"0"
"165",2008-06-10,"0"
"166",2008-06-11,"1.1"
"167",2008-06-12,"2.8"
"168",2008-06-13,"85.6"
"169",2008-06-14,"46.5"
"170",2008-06-15,"0.2"
"171",2008-06-16,"1.5"
"172",2008-06-17,"28.6"
"173",2008-06-18,"0"
"174",2008-06-19,"0"
"175",2008-06-20,"0"
"176",2008-06-21,"0"
"177",2008-06-22,"0"
"178",2008-06-23,"0"
"179",2008-06-24,"0"
"180",2008-06-25,"16.0"
"181",2008-06-26,"7.0"
"182",2008-06-27,"1.3"
"183",2008-06-28,"0.2"
"184",2008-06-29,"8.5"
"185",2008-06-30,"0.05"
"187",2008-07-01,"0"
"188",2008-07-02,"0"
"189",2008-07-03,"0"
"190",2008-07-04,"0"
"191",2008-07-05,"0"
"192",2008-07-06,"0.1"
"193",2008-07-07,"23.8"
"194",2008-07-08,"9.7"
"195",2008-07-09,"0"
"196",2008-07-10,"0"
"197",2008-07-11,"0"
"198",2008-07-12,"0"
"199",2008-07-13,"0"
"200",2008-07-14,"0"
"201",2008-07-15,"0"
"202",2008-07-16,"0"
"203",2008-07-17,"0"
"204",2008-07-18,"61.4"
"205",2008-07-19,"0.6"
"206",2008-07-20,"0.05"
"207",2008-07-21,"0"
"208",2008-07-22,"0"
"209",2008-07-23,"0"
"210",2008-07-24,"0"
"211",2008-07-25,"0.05"
"212",2008-07-26,"0"
"213",2008-07-27,"0"
"214",2008-07-28,"17.8"
"215",2008-07-29,"88.0"
"216",2008-07-30,"48.5"
"217",2008-07-31,"1.7"
"218",2008-08-01,"0"
"219",2008-08-02,"0"
"220",2008-08-03,"0"
"221",2008-08-04,"0"
"222",2008-08-05,"0"
"223",2008-08-06,"28.0"
"224",2008-08-07,"3.5"
"225",2008-08-08,"0"
"226",2008-08-09,"0"
"227",2008-08-10,"0"
"228",2008-08-11,"0"
"229",2008-08-12,"0"
"230",2008-08-13,"0.8"
"231",2008-08-14,"0"
"232",2008-08-15,"0"
"233",2008-08-16,"0"
"234",2008-08-17,"0"
"235",2008-08-18,"0"
"236",2008-08-19,"0"
"237",2008-08-20,"0"
"238",2008-08-21,"0.05"
"239",2008-08-22,"20.5"
"240",2008-08-23,"14.5"
"241",2008-08-24,"0.05"
"242",2008-08-25,"0"
"243",2008-08-26,"0.05"
"244",2008-08-27,"0"
"245",2008-08-28,"0"
"246",2008-08-29,"0"
"247",2008-08-30,"0"
"248",2008-08-31,"0"
"249",2008-09-01,"20.7"
"250",2008-09-02,"0"
"251",2008-09-03,"0"
"252",2008-09-04,"0"
"253",2008-09-05,"0"
"254",2008-09-06,"0"
"255",2008-09-07,"0"
"256",2008-09-08,"0"
"257",2008-09-09,"0"
"258",2008-09-10,"0"
"259",2008-09-11,"0"
"260",2008-09-12,"0"
"261",2008-09-13,"2.7"
"262",2008-09-14,"0"
"263",2008-09-15,"1.0"
"264",2008-09-16,"0"
"265",2008-09-17,"0"
"266",2008-09-18,"0"
"267",2008-09-19,"0"
"268",2008-09-20,"0"
"269",2008-09-21,"0"
"270",2008-09-22,"0"
"271",2008-09-23,"0.8"
"272",2008-09-24,"0"
"273",2008-09-25,"1.5"
"274",2008-09-26,"0"
"275",2008-09-27,"0"
"276",2008-09-28,"0"
"277",2008-09-29,"0.7"
"278",2008-09-30,"0"
"280",2008-10-01,"0"
"281",2008-10-02,"0"
"282",2008-10-03,"0"
"283",2008-10-04,"0"
"284",2008-10-05,"0.05"
"285",2008-10-06,"163.1"
"286",2008-10-07,"0"
"287",2008-10-08,"0"
"288",2008-10-09,"0"
"289",2008-10-10,"0"
"290",2008-10-11,"0"
"291",2008-10-12,"0"
"292",2008-10-13,"0"
"293",2008-10-14,"0"
"294",2008-10-15,"0"
"295",2008-10-16,"0"
"296",2008-10-17,"0"
"297",2008-10-18,"0"
"298",2008-10-19,"0"
"299",2008-10-20,"0"
"300",2008-10-21,"0"
"301",2008-10-22,"0"
"302",2008-10-23,"0"
"303",2008-10-24,"0"
"304",2008-10-25,"0"
"305",2008-10-26,"0"
"306",2008-10-27,"0"
"307",2008-10-28,"0"
"308",2008-10-29,"0"
"309",2008-10-30,"0"
"310",2008-10-31,"0"
"311",2008-11-01,"0"
"312",2008-11-02,"0"
"313",2008-11-03,"0.05"
"314",2008-11-04,"0"
"315",2008-11-05,"0"
"316",2008-11-06,"0"
"317",2008-11-07,"0"
"318",2008-11-08,"62.0"
"319",2008-11-09,"0.5"
"320",2008-11-10,"0"
"321",2008-11-11,"0"
"322",2008-11-12,"0"
"323",2008-11-13,"0"
"324",2008-11-14,"0"
"325",2008-11-15,"0"
"326",2008-11-16,"0"
"327",2008-11-17,"0"
"328",2008-11-18,"0"
"329",2008-11-19,"0"
"330",2008-11-20,"0"
"331",2008-11-21,"0"
"332",2008-11-22,"0"
"333",2008-11-23,"0"
"334",2008-11-24,"0"
"335",2008-11-25,"0"
"336",2008-11-26,"0"
"337",2008-11-27,"0"
"338",2008-11-28,"0"
"339",2008-11-29,"0"
"340",2008-11-30,"0"
"342",2008-12-01,"0"
"343",2008-12-02,"0"
"344",2008-12-03,"0"
"345",2008-12-04,"0.05"
"346",2008-12-05,"0"
"347",2008-12-06,"0"
"348",2008-12-07,"0"
"349",2008-12-08,"0"
"350",2008-12-09,"0"
"351",2008-12-10,"0"
"352",2008-12-11,"0"
"353",2008-12-12,"0"
"354",2008-12-13,"0"
"355",2008-12-14,"0"
"356",2008-12-15,"0"
"357",2008-12-16,"0"
"358",2008-12-17,"0"
"359",2008-12-18,"0"
"360",2008-12-19,"0"
"361",2008-12-20,"0"
"362",2008-12-21,"0"
"363",2008-12-22,"0"
"364",2008-12-23,"0"
"365",2008-12-24,"0"
"366",2008-12-25,"0"
"367",2008-12-26,"0"
"368",2008-12-27,"0"
"369",2008-12-28,"0"
"370",2008-12-29,"0.5"
"371",2008-12-30,"3.1"
"372",2008-12-31,"2.2"
