"","V1","V2"
"1",2010-01-01,"0"
"2",2010-01-02,"13.5"
"3",2010-01-03,"2.2"
"4",2010-01-04,"0"
"5",2010-01-05,"0"
"6",2010-01-06,"7.2"
"7",2010-01-07,"1.1"
"8",2010-01-08,"0.7"
"9",2010-01-09,"0"
"10",2010-01-10,"0"
"11",2010-01-11,"0.8"
"12",2010-01-12,"0.1"
"13",2010-01-13,"0"
"14",2010-01-14,"0"
"15",2010-01-15,"0"
"16",2010-01-16,"0"
"17",2010-01-17,"0"
"18",2010-01-18,"0"
"19",2010-01-19,"0"
"20",2010-01-20,"0"
"21",2010-01-21,"0.05"
"22",2010-01-22,"0"
"23",2010-01-23,"0.05"
"24",2010-01-24,"0.05"
"25",2010-01-25,"0.05"
"26",2010-01-26,"0"
"27",2010-01-27,"0"
"28",2010-01-28,"0"
"29",2010-01-29,"0"
"30",2010-01-30,"0"
"31",2010-01-31,"0"
"32",2010-02-01,"0"
"33",2010-02-02,"0"
"34",2010-02-03,"0"
"35",2010-02-04,"0"
"36",2010-02-05,"0"
"37",2010-02-06,"14.7"
"38",2010-02-07,"15.7"
"39",2010-02-08,"0.2"
"40",2010-02-09,"0"
"41",2010-02-10,"0"
"42",2010-02-11,"0.05"
"43",2010-02-12,"1.4"
"44",2010-02-13,"26.1"
"45",2010-02-14,"3.4"
"46",2010-02-15,"1.7"
"47",2010-02-16,"6.3"
"48",2010-02-17,"8.9"
"49",2010-02-18,"6.8"
"50",2010-02-19,"4.5"
"51",2010-02-20,"0"
"52",2010-02-21,"0"
"53",2010-02-22,"5.6"
"54",2010-02-23,"0"
"55",2010-02-24,"0.5"
"56",2010-02-25,"0"
"57",2010-02-26,"0"
"58",2010-02-27,"0.1"
"59",2010-02-28,"0"
"63",2010-03-01,"0"
"64",2010-03-02,"0.05"
"65",2010-03-03,"0"
"66",2010-03-04,"0"
"67",2010-03-05,"0"
"68",2010-03-06,"0.05"
"69",2010-03-07,"2.4"
"70",2010-03-08,"2.8"
"71",2010-03-09,"10.2"
"72",2010-03-10,"0"
"73",2010-03-11,"0"
"74",2010-03-12,"3.1"
"75",2010-03-13,"12.8"
"76",2010-03-14,"0.4"
"77",2010-03-15,"0"
"78",2010-03-16,"0"
"79",2010-03-17,"0"
"80",2010-03-18,"0"
"81",2010-03-19,"0"
"82",2010-03-20,"0"
"83",2010-03-21,"0"
"84",2010-03-22,"0"
"85",2010-03-23,"0"
"86",2010-03-24,"0"
"87",2010-03-25,"9.7"
"88",2010-03-26,"0"
"89",2010-03-27,"0"
"90",2010-03-28,"0"
"91",2010-03-29,"0"
"92",2010-03-30,"0"
"93",2010-03-31,"0"
"94",2010-04-01,"0"
"95",2010-04-02,"6.0"
"96",2010-04-03,"0"
"97",2010-04-04,"0.05"
"98",2010-04-05,"2.5"
"99",2010-04-06,"9.0"
"100",2010-04-07,"0.1"
"101",2010-04-08,"41.0"
"102",2010-04-09,"0"
"103",2010-04-10,"0.4"
"104",2010-04-11,"0.5"
"105",2010-04-12,"1.5"
"106",2010-04-13,"0.1"
"107",2010-04-14,"0.1"
"108",2010-04-15,"7.7"
"109",2010-04-16,"0"
"110",2010-04-17,"0"
"111",2010-04-18,"19.7"
"112",2010-04-19,"1.0"
"113",2010-04-20,"0"
"114",2010-04-21,"0"
"115",2010-04-22,"19.0"
"116",2010-04-23,"2.7"
"117",2010-04-24,"0"
"118",2010-04-25,"0"
"119",2010-04-26,"2.3"
"120",2010-04-27,"2.1"
"121",2010-04-28,"0"
"122",2010-04-29,"1.4"
"123",2010-04-30,"0.9"
"125",2010-05-01,"0"
"126",2010-05-02,"0"
"127",2010-05-03,"0"
"128",2010-05-04,"0"
"129",2010-05-05,"14.8"
"130",2010-05-06,"31.7"
"131",2010-05-07,"9.1"
"132",2010-05-08,"0"
"133",2010-05-09,"1.5"
"134",2010-05-10,"2.1"
"135",2010-05-11,"0"
"136",2010-05-12,"0"
"137",2010-05-13,"0"
"138",2010-05-14,"0"
"139",2010-05-15,"7.8"
"140",2010-05-16,"0"
"141",2010-05-17,"0"
"142",2010-05-18,"0"
"143",2010-05-19,"1.6"
"144",2010-05-20,"4.3"
"145",2010-05-21,"0"
"146",2010-05-22,"41.2"
"147",2010-05-23,"47.5"
"148",2010-05-24,"0"
"149",2010-05-25,"0"
"150",2010-05-26,"0"
"151",2010-05-27,"11.0"
"152",2010-05-28,"2.7"
"153",2010-05-29,"3.2"
"154",2010-05-30,"4.6"
"155",2010-05-31,"0"
"156",2010-06-01,"0"
"157",2010-06-02,"21.4"
"158",2010-06-03,"29.3"
"159",2010-06-04,"0.05"
"160",2010-06-05,"0"
"161",2010-06-06,"0"
"162",2010-06-07,"0"
"163",2010-06-08,"0"
"164",2010-06-09,"1.2"
"165",2010-06-10,"24.6"
"166",2010-06-11,"12.6"
"167",2010-06-12,"0.2"
"168",2010-06-13,"2.2"
"169",2010-06-14,"5.3"
"170",2010-06-15,"61.0"
"171",2010-06-16,"0.9"
"172",2010-06-17,"1.3"
"173",2010-06-18,"0"
"174",2010-06-19,"0"
"175",2010-06-20,"0"
"176",2010-06-21,"0"
"177",2010-06-22,"5.5"
"178",2010-06-23,"3.3"
"179",2010-06-24,"3.7"
"180",2010-06-25,"6.0"
"181",2010-06-26,"8.9"
"182",2010-06-27,"0"
"183",2010-06-28,"0"
"184",2010-06-29,"0"
"185",2010-06-30,"0"
"187",2010-07-01,"0"
"188",2010-07-02,"0"
"189",2010-07-03,"0"
"190",2010-07-04,"0"
"191",2010-07-05,"0"
"192",2010-07-06,"0"
"193",2010-07-07,"0"
"194",2010-07-08,"0"
"195",2010-07-09,"0"
"196",2010-07-10,"0"
"197",2010-07-11,"0"
"198",2010-07-12,"0"
"199",2010-07-13,"0"
"200",2010-07-14,"0"
"201",2010-07-15,"0"
"202",2010-07-16,"0"
"203",2010-07-17,"0"
"204",2010-07-18,"0"
"205",2010-07-19,"0"
"206",2010-07-20,"0"
"207",2010-07-21,"0"
"208",2010-07-22,"2.6"
"209",2010-07-23,"0"
"210",2010-07-24,"0"
"211",2010-07-25,"0"
"212",2010-07-26,"0.05"
"213",2010-07-27,"1.8"
"214",2010-07-28,"0"
"215",2010-07-29,"0"
"216",2010-07-30,"0"
"217",2010-07-31,"0"
"218",2010-08-01,"0"
"219",2010-08-02,"0"
"220",2010-08-03,"0"
"221",2010-08-04,"0"
"222",2010-08-05,"0"
"223",2010-08-06,"0"
"224",2010-08-07,"0"
"225",2010-08-08,"0"
"226",2010-08-09,"0"
"227",2010-08-10,"0"
"228",2010-08-11,"0"
"229",2010-08-12,"0"
"230",2010-08-13,"0"
"231",2010-08-14,"0"
"232",2010-08-15,"0"
"233",2010-08-16,"0"
"234",2010-08-17,"0"
"235",2010-08-18,"0"
"236",2010-08-19,"0"
"237",2010-08-20,"0"
"238",2010-08-21,"0"
"239",2010-08-22,"0"
"240",2010-08-23,"0"
"241",2010-08-24,"0.5"
"242",2010-08-25,"0"
"243",2010-08-26,"0"
"244",2010-08-27,"0"
"245",2010-08-28,"0"
"246",2010-08-29,"0"
"247",2010-08-30,"0.7"
"248",2010-08-31,"7.2"
"249",2010-09-01,"15.9"
"250",2010-09-02,"19.1"
"251",2010-09-03,"8.1"
"252",2010-09-04,"0"
"253",2010-09-05,"0"
"254",2010-09-06,"0"
"255",2010-09-07,"0"
"256",2010-09-08,"0"
"257",2010-09-09,"6.9"
"258",2010-09-10,"20.6"
"259",2010-09-11,"0.3"
"260",2010-09-12,"0"
"261",2010-09-13,"0"
"262",2010-09-14,"0"
"263",2010-09-15,"0"
"264",2010-09-16,"0"
"265",2010-09-17,"0.8"
"266",2010-09-18,"1.6"
"267",2010-09-19,"0.05"
"268",2010-09-20,"49.0"
"269",2010-09-21,"0.5"
"270",2010-09-22,"1.5"
"271",2010-09-23,"3.7"
"272",2010-09-24,"2.5"
"273",2010-09-25,"0"
"274",2010-09-26,"0"
"275",2010-09-27,"0"
"276",2010-09-28,"0.05"
"277",2010-09-29,"0"
"278",2010-09-30,"0"
"280",2010-10-01,"0"
"281",2010-10-02,"0"
"282",2010-10-03,"0.5"
"283",2010-10-04,"0"
"284",2010-10-05,"0"
"285",2010-10-06,"0"
"286",2010-10-07,"0"
"287",2010-10-08,"0.2"
"288",2010-10-09,"1.6"
"289",2010-10-10,"0"
"290",2010-10-11,"0"
"291",2010-10-12,"0"
"292",2010-10-13,"0"
"293",2010-10-14,"0"
"294",2010-10-15,"0"
"295",2010-10-16,"0"
"296",2010-10-17,"0"
"297",2010-10-18,"0"
"298",2010-10-19,"0"
"299",2010-10-20,"0.05"
"300",2010-10-21,"1.3"
"301",2010-10-22,"13.4"
"302",2010-10-23,"110.5"
"303",2010-10-24,"2.1"
"304",2010-10-25,"0.05"
"305",2010-10-26,"0"
"306",2010-10-27,"0"
"307",2010-10-28,"0"
"308",2010-10-29,"0"
"309",2010-10-30,"0"
"310",2010-10-31,"0"
"311",2010-11-01,"0"
"312",2010-11-02,"0"
"313",2010-11-03,"0"
"314",2010-11-04,"0.2"
"315",2010-11-05,"6.5"
"316",2010-11-06,"7.3"
"317",2010-11-07,"0.2"
"318",2010-11-08,"0"
