"","V1","V2"
"1",2014-01-01,"0"
"2",2014-01-02,"0"
"3",2014-01-03,"0"
"4",2014-01-04,"0"
"5",2014-01-05,"0"
"6",2014-01-06,"0"
"7",2014-01-07,"0"
"8",2014-01-08,"0"
"9",2014-01-09,"0"
"10",2014-01-10,"0"
"11",2014-01-11,"0"
"12",2014-01-12,"0"
"13",2014-01-13,"0"
"14",2014-01-14,"0"
"15",2014-01-15,"0"
"16",2014-01-16,"0"
"17",2014-01-17,"0"
"18",2014-01-18,"0"
"19",2014-01-19,"0"
"20",2014-01-20,"0"
"21",2014-01-21,"0"
"22",2014-01-22,"0"
"23",2014-01-23,"0"
"24",2014-01-24,"0"
"25",2014-01-25,"0"
"26",2014-01-26,"0"
"27",2014-01-27,"0"
"28",2014-01-28,"0"
"29",2014-01-29,"0"
"30",2014-01-30,"0"
"31",2014-01-31,"0"
"32",2014-02-01,"0"
"33",2014-02-02,"0"
"34",2014-02-03,"0"
"35",2014-02-04,"1.8"
"36",2014-02-05,"13.8"
"37",2014-02-06,"13.1"
"38",2014-02-07,"0.2"
"39",2014-02-08,"14.7"
"40",2014-02-09,"18.5"
"41",2014-02-10,"2.5"
"42",2014-02-11,"0.1"
"43",2014-02-12,"0.05"
"44",2014-02-13,"0.7"
"45",2014-02-14,"0"
"46",2014-02-15,"0"
"47",2014-02-16,"1.5"
"48",2014-02-17,"0.2"
"49",2014-02-18,"3.9"
"50",2014-02-19,"4.4"
"51",2014-02-20,"0"
"52",2014-02-21,"0"
"53",2014-02-22,"0"
"54",2014-02-23,"0"
"55",2014-02-24,"0"
"56",2014-02-25,"0"
"57",2014-02-26,"8.9"
"58",2014-02-27,"0"
"59",2014-02-28,"0"
"63",2014-03-01,"0"
"64",2014-03-02,"0.05"
"65",2014-03-03,"0"
"66",2014-03-04,"0"
"67",2014-03-05,"0.2"
"68",2014-03-06,"0.2"
"69",2014-03-07,"0.5"
"70",2014-03-08,"0.6"
"71",2014-03-09,"0"
"72",2014-03-10,"0.05"
"73",2014-03-11,"11.5"
"74",2014-03-12,"10.8"
"75",2014-03-13,"0.5"
"76",2014-03-14,"0.05"
"77",2014-03-15,"0"
"78",2014-03-16,"3.8"
"79",2014-03-17,"0"
"80",2014-03-18,"0"
"81",2014-03-19,"0"
"82",2014-03-20,"0"
"83",2014-03-21,"0"
"84",2014-03-22,"0"
"85",2014-03-23,"0"
"86",2014-03-24,"0"
"87",2014-03-25,"0"
"88",2014-03-26,"0"
"89",2014-03-27,"0"
"90",2014-03-28,"0.2"
"91",2014-03-29,"0.2"
"92",2014-03-30,"10.6"
"93",2014-03-31,"13.1"
"94",2014-04-01,"0"
"95",2014-04-02,"6.4"
"96",2014-04-03,"0.05"
"97",2014-04-04,"0"
"98",2014-04-05,"0"
"99",2014-04-06,"0.5"
"100",2014-04-07,"18.9"
"101",2014-04-08,"1.5"
"102",2014-04-09,"0"
"103",2014-04-10,"0"
"104",2014-04-11,"0"
"105",2014-04-12,"0"
"106",2014-04-13,"0.05"
"107",2014-04-14,"0"
"108",2014-04-15,"0"
"109",2014-04-16,"0"
"110",2014-04-17,"0"
"111",2014-04-18,"0"
"112",2014-04-19,"0"
"113",2014-04-20,"0"
"114",2014-04-21,"0"
"115",2014-04-22,"0"
"116",2014-04-23,"0"
"117",2014-04-24,"4.8"
"118",2014-04-25,"0"
"119",2014-04-26,"13.0"
"120",2014-04-27,"0"
"121",2014-04-28,"0"
"122",2014-04-29,"0"
"123",2014-04-30,"7.9"
"125",2014-05-01,"7.6"
"126",2014-05-02,"0"
"127",2014-05-03,"0"
"128",2014-05-04,"4.7"
"129",2014-05-05,"4.7"
"130",2014-05-06,"0.6"
"131",2014-05-07,"13.5"
"132",2014-05-08,"0.2"
"133",2014-05-09,"12.4"
"134",2014-05-10,"0.05"
"135",2014-05-11,"42.9"
"136",2014-05-12,"5.0"
"137",2014-05-13,"2.1"
"138",2014-05-14,"2.3"
"139",2014-05-15,"4.5"
"140",2014-05-16,"0"
"141",2014-05-17,"0.6"
"142",2014-05-18,"16.2"
"143",2014-05-19,"0.1"
"144",2014-05-20,"1.8"
"145",2014-05-21,"35.7"
"146",2014-05-22,"7.4"
"147",2014-05-23,"87.1"
"148",2014-05-24,"10.6"
"149",2014-05-25,"0"
"150",2014-05-26,"1.0"
"151",2014-05-27,"0"
"152",2014-05-28,"15.2"
"153",2014-05-29,"0"
"154",2014-05-30,"0"
"155",2014-05-31,"24.6"
"156",2014-06-01,"0"
"157",2014-06-02,"0"
"158",2014-06-03,"20.9"
"159",2014-06-04,"0"
"160",2014-06-05,"14.9"
"161",2014-06-06,"26.8"
"162",2014-06-07,"5.4"
"163",2014-06-08,"1.4"
"164",2014-06-09,"0"
"165",2014-06-10,"0"
"166",2014-06-11,"0"
"167",2014-06-12,"0"
"168",2014-06-13,"0"
"169",2014-06-14,"0.2"
"170",2014-06-15,"6.6"
"171",2014-06-16,"67.2"
"172",2014-06-17,"0.5"
"173",2014-06-18,"0"
"174",2014-06-19,"0"
"175",2014-06-20,"0"
"176",2014-06-21,"0"
"177",2014-06-22,"0"
"178",2014-06-23,"0"
"179",2014-06-24,"1.2"
"180",2014-06-25,"0.5"
"181",2014-06-26,"1.8"
"182",2014-06-27,"0"
"183",2014-06-28,"0"
"184",2014-06-29,"1.1"
"185",2014-06-30,"0"
"187",2014-07-01,"0"
"188",2014-07-02,"0"
"189",2014-07-03,"0"
"190",2014-07-04,"0"
