"","V1","V2"
"1",2012-01-01,"0"
"2",2012-01-02,"0"
"3",2012-01-03,"0"
"4",2012-01-04,"0.05"
"5",2012-01-05,"1.5"
"6",2012-01-06,"10.0"
"7",2012-01-07,"0"
"8",2012-01-08,"0"
"9",2012-01-09,"0"
"10",2012-01-10,"0"
"11",2012-01-11,"0"
"12",2012-01-12,"0.1"
"13",2012-01-13,"1.6"
"14",2012-01-14,"1.8"
"15",2012-01-15,"12.6"
"16",2012-01-16,"3.8"
"17",2012-01-17,"0"
"18",2012-01-18,"0"
"19",2012-01-19,"0"
"20",2012-01-20,"0"
"21",2012-01-21,"1.2"
"22",2012-01-22,"11.3"
"23",2012-01-23,"0.8"
"24",2012-01-24,"15.4"
"25",2012-01-25,"0.5"
"26",2012-01-26,"0"
"27",2012-01-27,"0"
"28",2012-01-28,"0"
"29",2012-01-29,"0"
"30",2012-01-30,"0"
"31",2012-01-31,"0"
"32",2012-02-01,"0"
"33",2012-02-02,"1.0"
"34",2012-02-03,"0.3"
"35",2012-02-04,"0"
"36",2012-02-05,"0"
"37",2012-02-06,"4.4"
"38",2012-02-07,"1.7"
"39",2012-02-08,"0"
"40",2012-02-09,"0.05"
"41",2012-02-10,"0"
"42",2012-02-11,"0"
"43",2012-02-12,"0"
"44",2012-02-13,"0"
"45",2012-02-14,"2.7"
"46",2012-02-15,"6.0"
"47",2012-02-16,"0"
"48",2012-02-17,"0"
"49",2012-02-18,"0"
"50",2012-02-19,"0"
"51",2012-02-20,"0"
"52",2012-02-21,"0"
"53",2012-02-22,"10.1"
"54",2012-02-23,"1.6"
"55",2012-02-24,"0"
"56",2012-02-25,"8.4"
"57",2012-02-26,"1.5"
"58",2012-02-27,"5.3"
"59",2012-02-28,"36.2"
"60",2012-02-29,"2.3"
"63",2012-03-01,"0.05"
"64",2012-03-02,"0"
"65",2012-03-03,"0"
"66",2012-03-04,"0.1"
"67",2012-03-05,"0.1"
"68",2012-03-06,"0"
"69",2012-03-07,"0.1"
"70",2012-03-08,"2.6"
"71",2012-03-09,"0.4"
"72",2012-03-10,"2.6"
"73",2012-03-11,"2.1"
"74",2012-03-12,"1.2"
"75",2012-03-13,"4.2"
"76",2012-03-14,"5.6"
"77",2012-03-15,"0"
"78",2012-03-16,"1.1"
"79",2012-03-17,"0"
"80",2012-03-18,"0"
"81",2012-03-19,"0"
"82",2012-03-20,"0"
"83",2012-03-21,"0"
"84",2012-03-22,"0"
"85",2012-03-23,"0.05"
"86",2012-03-24,"1.7"
"87",2012-03-25,"0"
"88",2012-03-26,"0"
"89",2012-03-27,"0"
"90",2012-03-28,"0"
"91",2012-03-29,"0"
"92",2012-03-30,"0"
"93",2012-03-31,"0.3"
"94",2012-04-01,"0"
"95",2012-04-02,"0"
"96",2012-04-03,"0"
"97",2012-04-04,"0"
"98",2012-04-05,"3.0"
"99",2012-04-06,"1.2"
"100",2012-04-07,"4.0"
"101",2012-04-08,"0.05"
"102",2012-04-09,"5.4"
"103",2012-04-10,"2.8"
"104",2012-04-11,"0"
"105",2012-04-12,"0"
"106",2012-04-13,"0"
"107",2012-04-14,"0"
"108",2012-04-15,"0"
"109",2012-04-16,"5.7"
"110",2012-04-17,"4.1"
"111",2012-04-18,"1.0"
"112",2012-04-19,"0"
"113",2012-04-20,"17.5"
"114",2012-04-21,"0"
"115",2012-04-22,"0"
"116",2012-04-23,"1.0"
"117",2012-04-24,"0.9"
"118",2012-04-25,"9.2"
"119",2012-04-26,"0.3"
"120",2012-04-27,"59.6"
"121",2012-04-28,"0"
"122",2012-04-29,"22.6"
"123",2012-04-30,"2.4"
"125",2012-05-01,"2.1"
"126",2012-05-02,"1.0"
"127",2012-05-03,"0.8"
"128",2012-05-04,"6.1"
"129",2012-05-05,"3.0"
"130",2012-05-06,"0"
"131",2012-05-07,"0"
"132",2012-05-08,"0"
"133",2012-05-09,"0"
"134",2012-05-10,"6.0"
"135",2012-05-11,"0"
"136",2012-05-12,"0"
"137",2012-05-13,"0"
"138",2012-05-14,"0.9"
"139",2012-05-15,"24.2"
"140",2012-05-16,"21.6"
"141",2012-05-17,"5.8"
"142",2012-05-18,"0.1"
"143",2012-05-19,"12.4"
"144",2012-05-20,"0.05"
"145",2012-05-21,"0"
"146",2012-05-22,"0"
"147",2012-05-23,"0"
"148",2012-05-24,"0"
"149",2012-05-25,"0"
"150",2012-05-26,"0.05"
"151",2012-05-27,"30.7"
"152",2012-05-28,"9.8"
"153",2012-05-29,"0"
"154",2012-05-30,"0"
"155",2012-05-31,"1.6"
"156",2012-06-01,"0"
"157",2012-06-02,"0"
"158",2012-06-03,"0"
"159",2012-06-04,"0"
"160",2012-06-05,"0"
"161",2012-06-06,"0"
"162",2012-06-07,"0"
"163",2012-06-08,"0"
"164",2012-06-09,"0"
"165",2012-06-10,"8.7"
"166",2012-06-11,"0.2"
"167",2012-06-12,"3.8"
"168",2012-06-13,"0"
"169",2012-06-14,"1.3"
"170",2012-06-15,"0"
"171",2012-06-16,"32.7"
"172",2012-06-17,"5.1"
"173",2012-06-18,"0"
"174",2012-06-19,"3.6"
"175",2012-06-20,"48.4"
"176",2012-06-21,"0.2"
"177",2012-06-22,"10.7"
"178",2012-06-23,"0"
"179",2012-06-24,"0"
"180",2012-06-25,"0.2"
"181",2012-06-26,"0"
"182",2012-06-27,"0"
"183",2012-06-28,"0"
"184",2012-06-29,"1.3"
"185",2012-06-30,"2.3"
"187",2012-07-01,"0"
"188",2012-07-02,"0"
"189",2012-07-03,"0"
"190",2012-07-04,"0"
"191",2012-07-05,"0.05"
"192",2012-07-06,"1.8"
"193",2012-07-07,"0"
"194",2012-07-08,"0"
"195",2012-07-09,"0"
"196",2012-07-10,"0"
"197",2012-07-11,"0"
"198",2012-07-12,"0"
"199",2012-07-13,"0"
"200",2012-07-14,"0"
"201",2012-07-15,"0"
"202",2012-07-16,"0"
"203",2012-07-17,"2.4"
"204",2012-07-18,"0"
"205",2012-07-19,"0"
"206",2012-07-20,"0"
"207",2012-07-21,"0"
"208",2012-07-22,"13.9"
"209",2012-07-23,"4.3"
"210",2012-07-24,"9.1"
"211",2012-07-25,"0.1"
"212",2012-07-26,"0"
"213",2012-07-27,"0"
"214",2012-07-28,"0"
"215",2012-07-29,"0"
"216",2012-07-30,"0"
"217",2012-07-31,"0"
"218",2012-08-01,"0"
"219",2012-08-02,"3.2"
"220",2012-08-03,"0.3"
"221",2012-08-04,"0.05"
"222",2012-08-05,"0"
"223",2012-08-06,"0"
"224",2012-08-07,"0"
"225",2012-08-08,"0"
"226",2012-08-09,"0"
"227",2012-08-10,"0"
"228",2012-08-11,"0.9"
"229",2012-08-12,"0"
"230",2012-08-13,"0"
"231",2012-08-14,"0"
"232",2012-08-15,"0"
"233",2012-08-16,"4.2"
"234",2012-08-17,"0.7"
"235",2012-08-18,"0"
"236",2012-08-19,"0"
"237",2012-08-20,"0"
"238",2012-08-21,"0"
"239",2012-08-22,"0"
"240",2012-08-23,"0"
"241",2012-08-24,"0"
"242",2012-08-25,"22.3"
"243",2012-08-26,"0"
"244",2012-08-27,"0"
"245",2012-08-28,"0.05"
"246",2012-08-29,"7.1"
"247",2012-08-30,"0"
"248",2012-08-31,"0"
"249",2012-09-01,"1.2"
"250",2012-09-02,"0.3"
"251",2012-09-03,"0"
"252",2012-09-04,"0"
"253",2012-09-05,"0"
"254",2012-09-06,"0"
"255",2012-09-07,"0"
"256",2012-09-08,"0"
"257",2012-09-09,"11.2"
"258",2012-09-10,"45.6"
"259",2012-09-11,"0"
"260",2012-09-12,"0"
"261",2012-09-13,"0.2"
"262",2012-09-14,"0"
"263",2012-09-15,"0"
"264",2012-09-16,"0"
"265",2012-09-17,"0"
"266",2012-09-18,"0"
"267",2012-09-19,"0.5"
"268",2012-09-20,"0"
"269",2012-09-21,"0"
"270",2012-09-22,"0"
"271",2012-09-23,"0.05"
"272",2012-09-24,"0"
"273",2012-09-25,"0"
"274",2012-09-26,"0"
"275",2012-09-27,"0"
"276",2012-09-28,"0"
"277",2012-09-29,"0"
"278",2012-09-30,"0"
"280",2012-10-01,"0"
"281",2012-10-02,"0"
"282",2012-10-03,"0"
"283",2012-10-04,"0"
"284",2012-10-05,"0"
"285",2012-10-06,"0"
"286",2012-10-07,"0"
"287",2012-10-08,"0"
"288",2012-10-09,"0"
"289",2012-10-10,"0"
"290",2012-10-11,"0"
"291",2012-10-12,"0"
"292",2012-10-13,"0"
"293",2012-10-14,"0"
"294",2012-10-15,"0"
"295",2012-10-16,"0"
"296",2012-10-17,"0"
"297",2012-10-18,"0"
"298",2012-10-19,"0"
"299",2012-10-20,"0"
"300",2012-10-21,"0"
"301",2012-10-22,"0"
"302",2012-10-23,"0"
"303",2012-10-24,"0"
"304",2012-10-25,"0"
"305",2012-10-26,"0"
"306",2012-10-27,"0"
"307",2012-10-28,"0"
"308",2012-10-29,"0"
"309",2012-10-30,"3.5"
"310",2012-10-31,"4.0"
"311",2012-11-01,"0.5"
"312",2012-11-02,"0"
"313",2012-11-03,"0"
"314",2012-11-04,"0"
"315",2012-11-05,"0"
"316",2012-11-06,"0"
"317",2012-11-07,"0"
"318",2012-11-08,"0"
"319",2012-11-09,"0"
"320",2012-11-10,"2.1"
"321",2012-11-11,"2.4"
"322",2012-11-12,"0"
"323",2012-11-13,"0"
"324",2012-11-14,"0"
"325",2012-11-15,"0"
"326",2012-11-16,"0"
"327",2012-11-17,"6.4"
"328",2012-11-18,"0.1"
"329",2012-11-19,"0"
"330",2012-11-20,"0"
"331",2012-11-21,"3.5"
"332",2012-11-22,"0.3"
"333",2012-11-23,"0.5"
"334",2012-11-24,"0"
"335",2012-11-25,"0"
"336",2012-11-26,"14.7"
"337",2012-11-27,"0.1"
"338",2012-11-28,"45.2"
"339",2012-11-29,"18.1"
"340",2012-11-30,"31.4"
"342",2012-12-01,"1.8"
"343",2012-12-02,"0"
"344",2012-12-03,"0"
"345",2012-12-04,"2.5"
"346",2012-12-05,"11.0"
"347",2012-12-06,"0.05"
"348",2012-12-07,"0"
"349",2012-12-08,"2.7"
"350",2012-12-09,"0"
"351",2012-12-10,"0"
"352",2012-12-11,"0"
"353",2012-12-12,"0"
"354",2012-12-13,"0"
"355",2012-12-14,"0"
"356",2012-12-15,"0"
"357",2012-12-16,"0"
"358",2012-12-17,"0"
"359",2012-12-18,"3.2"
"360",2012-12-19,"0"
"361",2012-12-20,"0"
"362",2012-12-21,"0"
"363",2012-12-22,"0"
"364",2012-12-23,"0"
"365",2012-12-24,"0"
"366",2012-12-25,"0"
"367",2012-12-26,"0"
"368",2012-12-27,"4.3"
"369",2012-12-28,"0.2"
"370",2012-12-29,"49.1"
"371",2012-12-30,"6.8"
"372",2012-12-31,"0"
